Teste,Year,Month,Day,Time,Amount,Merchant Name,Is Fraud?,Swipe Transaction,Online Transaction,Chip Transaction
0,2002,9,1,1683278460.0,134.09,3527213246127876953,No,True,False,False
1,2002,9,1,1683279720.0,38.48,-727612092139916043,No,True,False,False
2,2002,9,2,1683278520.0,120.34,-727612092139916043,No,True,False,False
3,2002,9,2,1683319500.0,128.95,3414527459579106770,No,True,False,False
4,2002,9,3,1683278580.0,104.71,5817218446178736267,No,True,False,False
5,2002,9,3,1683305580.0,86.19,-7146670748125200898,No,True,False,False
6,2002,9,4,1683276660.0,93.84,-727612092139916043,No,True,False,False
7,2002,9,4,1683277740.0,123.5,-727612092139916043,No,True,False,False
8,2002,9,5,1683278040.0,61.72,-727612092139916043,No,True,False,False
9,2002,9,5,1683290100.0,57.1,4055257078481058705,No,True,False,False
10,2002,9,5,1683328680.0,76.07,-4500542936415012428,No,True,False,False
11,2002,9,5,1683330060.0,53.91,-9092677072201095172,No,False,True,False
12,2002,9,6,1683278160.0,110.37,2027553650310142703,No,True,False,False
13,2002,9,7,1683278160.0,117.05,-727612092139916043,No,True,False,False
14,2002,9,7,1683279240.0,45.3,-5475680618560174533,No,True,False,False
15,2002,9,7,1683290340.0,29.34,4055257078481058705,No,True,False,False
16,2002,9,8,1683277800.0,147.45,-34551508091458520,No,True,False,False
17,2002,9,8,1683279480.0,27.75,4060646732831064559,No,True,False,False
18,2002,9,8,1683305280.0,76.57,-727612092139916043,No,True,False,False
19,2002,9,8,1683334860.0,22.56,-6733168469687845480,No,True,False,False
20,2002,9,9,1683280440.0,37.5,4060646732831064559,No,True,False,False
21,2002,9,9,1683290400.0,65.5,-3345936507911876459,No,True,False,False
22,2002,9,9,1683303540.0,56.42,3189517333335617109,No,True,False,False
23,2002,9,9,1683304260.0,2.71,4060646732831064559,No,True,False,False
24,2002,9,9,1683327720.0,144.9,-8338381919281017248,No,False,True,False
25,2002,9,10,1683278400.0,160.0,-4282466774399734331,No,True,False,False
26,2002,9,10,1683278520.0,102.18,3527213246127876953,No,True,False,False
27,2002,9,10,1683279060.0,36.73,-34551508091458520,No,True,False,False
28,2002,9,10,1683333540.0,29.33,-6733168469687845480,No,True,False,False
29,2002,9,11,1683278880.0,162.39,4060646732831064559,No,True,False,False
30,2002,9,11,1683279180.0,34.4,-34551508091458520,No,True,False,False
31,2002,9,11,1683302760.0,62.06,2027553650310142703,No,True,False,False
32,2002,9,11,1683303420.0,-99.0,2027553650310142703,No,True,False,False
33,2002,9,11,1683303780.0,99.0,2027553650310142703,No,True,False,False
34,2002,9,11,1683325800.0,80.18,-1605794445852049456,No,True,False,False
35,2002,9,12,1683278460.0,122.1,4060646732831064559,No,True,False,False
36,2002,9,12,1683278760.0,92.76,4060646732831064559,No,True,False,False
37,2002,9,12,1683280200.0,52.52,4060646732831064559,No,True,False,False
38,2002,9,12,1683297780.0,1.13,6666504894937430109,No,True,False,False
39,2002,9,13,1683278520.0,126.79,1913477460590765860,No,True,False,False
40,2002,9,13,1683279420.0,44.41,-34551508091458520,No,True,False,False
41,2002,9,14,1683277740.0,164.37,-34551508091458520,No,True,False,False
42,2002,9,14,1683302880.0,12.76,-4500542936415012428,No,True,False,False
43,2002,9,15,1683275640.0,109.94,5817218446178736267,No,True,False,False
44,2002,9,15,1683278280.0,126.29,-245178307025547046,No,True,False,False
45,2002,9,15,1683280500.0,40.81,4060646732831064559,No,True,False,False
46,2002,9,15,1683305640.0,81.35,-5904116920141006298,No,True,False,False
47,2002,9,16,1683277200.0,115.34,3527213246127876953,No,True,False,False
48,2002,9,16,1683279900.0,44.25,4060646732831064559,No,True,False,False
49,2002,9,17,1683277740.0,120.19,-34551508091458520,No,True,False,False
50,2002,9,17,1683278640.0,159.72,-34551508091458520,No,True,False,False
51,2002,9,18,1683278340.0,128.85,3527213246127876953,No,True,False,False
52,2002,9,18,1683327660.0,92.3,-4500542936415012428,No,True,False,False
53,2002,9,19,1683278700.0,168.11,5817218446178736267,No,True,False,False
54,2002,9,19,1683290520.0,53.09,4055257078481058705,No,True,False,False
55,2002,9,20,1683277260.0,104.77,-245178307025547046,No,True,False,False
56,2002,9,20,1683278220.0,119.69,-245178307025547046,No,True,False,False
57,2002,9,21,1683278820.0,145.5,2027553650310142703,No,True,False,False
58,2002,9,21,1683280020.0,48.34,-5475680618560174533,No,True,False,False
59,2002,9,21,1683307380.0,2.79,-727612092139916043,No,True,False,False
60,2002,9,22,1683280200.0,47.51,4060646732831064559,No,True,False,False
61,2002,9,22,1683289740.0,51.98,4055257078481058705,No,True,False,False
62,2002,9,22,1683290220.0,82.9,3952145593743244256,No,True,False,False
63,2002,9,22,1683328560.0,76.37,-5023497618971072366,No,True,False,False
64,2002,9,23,1683277260.0,134.89,3527213246127876953,No,True,False,False
65,2002,9,23,1683279960.0,35.28,-34551508091458520,No,True,False,False
66,2002,9,23,1683329160.0,80.65,-4500542936415012428,No,True,False,False
67,2002,9,24,1683277620.0,112.67,3527213246127876953,No,True,False,False
68,2002,9,25,1683278340.0,162.26,5817218446178736267,No,True,False,False
69,2002,9,25,1683279360.0,39.38,-727612092139916043,No,True,False,False
70,2002,9,25,1683302460.0,55.76,-1288082279022882052,No,True,False,False
71,2002,9,25,1683303000.0,100.0,-1288082279022882052,No,True,False,False
72,2002,9,25,1683303240.0,-100.0,-1288082279022882052,No,True,False,False
73,2002,9,26,1683278700.0,93.37,3527213246127876953,No,True,False,False
74,2002,9,27,1683278460.0,199.71,-727612092139916043,No,True,False,False
75,2002,9,27,1683284460.0,23.18,4060646732831064559,No,True,False,False
76,2002,9,27,1683290520.0,57.64,4055257078481058705,No,True,False,False
77,2002,9,28,1683275760.0,78.46,4060646732831064559,No,True,False,False
78,2002,9,28,1683278580.0,141.7,5817218446178736267,No,True,False,False
79,2002,9,28,1683289920.0,55.41,4055257078481058705,No,True,False,False
80,2002,9,28,1683303180.0,153.36,7945328079774550558,No,True,False,False
81,2002,9,29,1683277560.0,119.61,5817218446178736267,No,True,False,False
82,2002,9,29,1683278520.0,120.25,5817218446178736267,No,True,False,False
83,2002,9,29,1683279180.0,40.58,5817218446178736267,No,True,False,False
84,2002,9,29,1683328500.0,165.96,838425044734233142,No,True,False,False
