Amount,Use Chip,MCC,Has Chip,Merchant Latitude,Merchant Longitude,Month,Day of Week,Day,Hour,Distance to Merchant,Latitude,Longitude,Age,Is Fraud
180.7,0.0,3730.0,1.0,21.4352,-158.1781,2.0,3.0,27.0,14.0,4187.853603131449,34.15,-117.76,54.0,0.0
144.86,2.0,5411.0,0.0,34.1159,-117.7708,2.0,6.0,2.0,6.0,3.9198788301545537,34.15,-117.76,54.0,0.0
37.95,2.0,5942.0,0.0,34.048,-118.115,1.0,6.0,26.0,6.0,34.599175960878895,34.15,-117.76,54.0,0.0
13.06,2.0,5411.0,0.0,29.6643,-98.3118,1.0,3.0,2.0,14.0,1898.970985566863,34.15,-117.76,54.0,0.0
104.39,0.0,5300.0,1.0,34.1159,-117.7708,12.0,2.0,25.0,6.0,3.9198788301545537,34.15,-117.76,53.0,0.0
149.7,0.0,5411.0,1.0,34.0534,-118.1271,11.0,5.0,9.0,6.0,35.46614667864675,34.15,-117.76,53.0,0.0
40.24,0.0,5912.0,1.0,34.1159,-117.7708,9.0,0.0,30.0,6.0,3.9198788301545537,34.15,-117.76,53.0,0.0
51.07,2.0,5411.0,0.0,34.1159,-117.7708,8.0,2.0,7.0,6.0,3.9198788301545537,34.15,-117.76,53.0,0.0
35.44,0.0,5912.0,1.0,34.1159,-117.7708,7.0,0.0,29.0,7.0,3.9198788301545537,34.15,-117.76,53.0,0.0
133.07,2.0,5311.0,0.0,34.1159,-117.7708,7.0,6.0,21.0,5.0,3.9198788301545537,34.15,-117.76,53.0,0.0
46.99,2.0,5912.0,0.0,34.1159,-117.7708,5.0,4.0,24.0,6.0,3.9198788301545537,34.15,-117.76,53.0,0.0
100.71,0.0,5912.0,1.0,34.1159,-117.7708,5.0,4.0,24.0,6.0,3.9198788301545537,34.15,-117.76,53.0,0.0
10.66,0.0,5411.0,1.0,34.0534,-118.1271,5.0,3.0,16.0,13.0,35.46614667864675,34.15,-117.76,53.0,0.0
15.68,0.0,5411.0,1.0,34.0534,-118.1271,4.0,2.0,17.0,19.0,35.46614667864675,34.15,-117.76,53.0,0.0
25.51,1.0,4814.0,0.0,37.42488662030914,-91.83121755030102,1.0,3.0,10.0,16.0,2359.328829865347,34.15,-117.76,53.0,0.0
90.6,0.0,7538.0,1.0,40.7722,-73.7454,6.0,5.0,15.0,13.0,1.430776524331721,40.76,-73.74,53.0,0.0
49.31,0.0,5932.0,1.0,37.42488662030914,-91.83121755030102,5.0,3.0,30.0,12.0,1601.5772806649784,40.76,-73.74,53.0,1.0
38.36,0.0,5311.0,1.0,37.42488662030914,-91.83121755030102,5.0,5.0,25.0,14.0,1601.5772806649784,40.76,-73.74,53.0,1.0
130.19,0.0,5311.0,1.0,37.42488662030914,-91.83121755030102,5.0,5.0,25.0,14.0,1601.5772806649784,40.76,-73.74,53.0,1.0
63.38,0.0,3389.0,1.0,37.42488662030914,-91.83121755030102,5.0,4.0,24.0,18.0,1601.5772806649784,40.76,-73.74,53.0,1.0
55.58,0.0,5411.0,1.0,37.42488662030914,-91.83121755030102,5.0,3.0,23.0,13.0,1601.5772806649784,40.76,-73.74,53.0,1.0
82.9,0.0,5814.0,1.0,40.7722,-73.7454,5.0,1.0,21.0,19.0,1.430776524331721,40.76,-73.74,53.0,0.0
38.63,0.0,5921.0,1.0,37.42488662030914,-91.83121755030102,5.0,4.0,17.0,13.0,1601.5772806649784,40.76,-73.74,53.0,1.0
12.27,0.0,5812.0,1.0,37.42488662030914,-91.83121755030102,5.0,3.0,16.0,15.0,1601.5772806649784,40.76,-73.74,53.0,1.0
13.79,0.0,4214.0,1.0,37.42488662030914,-91.83121755030102,5.0,3.0,16.0,14.0,1601.5772806649784,40.76,-73.74,53.0,1.0
13.4,0.0,5499.0,1.0,40.7722,-73.7454,5.0,2.0,15.0,6.0,1.430776524331721,40.76,-73.74,53.0,0.0
14.22,0.0,5311.0,1.0,37.42488662030914,-91.83121755030102,5.0,5.0,11.0,14.0,1601.5772806649784,40.76,-73.74,53.0,1.0
488.0,0.0,3684.0,1.0,37.42488662030914,-91.83121755030102,5.0,5.0,11.0,14.0,1601.5772806649784,40.76,-73.74,53.0,1.0
86.84,0.0,7538.0,1.0,40.7722,-73.7454,4.0,2.0,10.0,13.0,1.430776524331721,40.76,-73.74,53.0,0.0
134.03,1.0,5311.0,1.0,37.42488662030914,-91.83121755030102,3.0,2.0,6.0,18.0,1601.5772806649784,40.76,-73.74,53.0,0.0
33.27,0.0,5300.0,1.0,40.7722,-73.7454,3.0,1.0,5.0,3.0,1.430776524331721,40.76,-73.74,53.0,0.0
64.12,0.0,5411.0,1.0,40.7428,-73.7588,2.0,2.0,13.0,10.0,2.4830908473172224,40.76,-73.74,53.0,0.0
11.86,0.0,5912.0,1.0,34.0229,-117.8975,2.0,1.0,11.0,6.0,0.7627297827808959,34.02,-117.89,82.0,0.0
70.0,2.0,5541.0,1.0,34.0229,-117.8975,2.0,3.0,6.0,11.0,0.7627297827808959,34.02,-117.89,82.0,0.0
7.14,0.0,5812.0,1.0,32.3987,-100.8609,1.0,3.0,30.0,8.0,1592.641234197953,34.02,-117.89,82.0,0.0
6.0,0.0,5814.0,1.0,34.0229,-117.8975,1.0,5.0,4.0,6.0,0.7627297827808959,34.02,-117.89,82.0,0.0
45.96,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,12.0,4.0,20.0,9.0,2374.918339278467,34.02,-117.89,81.0,0.0
43.88,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,12.0,2.0,18.0,4.0,2374.918339278467,34.02,-117.89,81.0,0.0
